year,mm,dd,hh,min,ss.s,L,latit,longit,depth,err(km),mag,tm,CAT,Io,Area,ST,Localities,(source) comments
2015,09,27,17,41,59.00,,-13.790,-52.683,  0.0,30, 2.8,1,"I",,,"MT","Canarana","(RSBR USP)"
2015,09,28,07,41,50.00,,+3.510,-27.780,  0.0,50, 4.1,0,"I",,,"PE","Arquip.S.Pedro S.Paulo","(RSBR)"
2015,10,02,03,49,32.00,,+1.080,-27.780,  0.0,50, 4.1,0,"I",,,"PE","Arquip.S.Pedro S.Paulo","(RSBR)"
2015,10,03,18,44,13.00,,-19.570,-43.390,  0.0,20, 3.5,1,"I",,,"MG","Bom Jesus do Amparo","(RSBR)"
2015,10,06,03,48,28.00,,+6.500,-36.940,  0.0,50, 4.3,0,"I",,,"PE","Arquip.S.Pedro S.Paulo","(RSBR)"
2015,10,08,16,58,31.00,,-3.810,-39.910,  0.0,15, 2.5,1,"I",,,"CE","Irauçuba","(RSBR)"
2015,10,08,18,25,41.00,,-15.910,-49.810,  0.0,24, 2.7,1,"I",,,"GO","Goiás","(UnB; Carvalho etal.2020)"
2015,10,08,19,58,36.00,,-7.550,-38.970,  0.0,10, 2.4,1,"I",,,"CE","Brejo Santo","(RSBR)"
2015,10,09,15,10,14.00,,-5.370,-38.920,  0.0,10, 2.3,1,"I",,,"CE","Banabuiú","(RSBR)"
2015,10,09,15,12,49.00,,-13.490,-48.690,  0.0,5, 2.7,1,"I",,,"GO","Trombas","(RSBR)"
2015,10,12,03,21,25.00,,-12.730,-46.430,  0.0,2, 2.4,1,"I",,,"TO","Tocantins","(UnB; Carvalho etal.2020)"
2015,10,13,05,51,22.00,,-8.740,-73.980,142.0,40, 4.2,0,"I",,,"AC","Marechal Thaumaturgo","(RSBR)"
2015,10,16,19,45,44.00,,-3.820,-40.520,  0.0,15, 1.3,1,"I",,,"CE","Cariré","(RSBR)"
2015,10,20,01,04,03.00,,-3.820,-40.190,  0.0,10, 1.5,1,"I",,,"CE","Forquilha","(RSBR)"
2015,10,22,11,09,48.00,,+0.400,-19.500,  0.0,50, 4.6,0,"I",,,"PE","Arquip.S.Pedro S.Paulo","(RSBR)"
2015,10,23,06,53,11.00,,-24.730,-48.120,  0.0,1, 3.3,1,"I","4",,"SP","Cajati","(RSBR)"
2015,10,24,20,02,28.00,,-11.930,-48.700,  0.0,16, 2.3,1,"I",,,"TO","Tocantins","(UnB; Carvalho etal.2020)"
2015,10,25,05,15,51.00,,-3.270,-40.580,  0.0,5, 2.0,1,"I",,,"CE","Uruoca","(RSBR)"
2015,10,25,05,16,19.00,,-3.290,-40.590,  0.0,5, 2.8,1,"I",,,"CE","Uruoca","(RSBR)"
2015,10,25,05,19,50.00,,-3.320,-40.580,  0.0,5, 2.3,1,"I",,,"CE","Uruoca","(RSBR)"
2015,10,25,05,22,31.00,,-3.270,-40.590,  0.0,5, 2.5,1,"I",,,"CE","Uruoca","(RSBR)"
2015,10,27,19,40,17.00,,-19.080,-40.860,  0.0,15, 2.1,1,"I",,,"ES","Pancas","(RSBR)"
2015,10,28,17,10,55.00,,-9.640,-71.220,603.0,80, 4.5,0,"I",,,"AC","Santa Rosa do Purus","(RSBR)"
2015,11,03,11,27,28.00,,+2.800,-33.270,  0.0,50, 4.2,0,"I",,,"PE","Arquip.S.Pedro S.Paulo","(RSBR)"
2015,11,05,16,12,16.00,,-20.209,-43.453,  0.0,2, 2.4,1,"I","4",,"MG","Mariana Mina-Germano","(RSBR Agurto etal 2016)"
2015,11,05,16,13,51.00,,-20.208,-43.453,  0.0,2, 2.6,1,"I","5",,"MG","Mariana Mina-Germano","(RSBR Agurto etal 2016)"
2015,11,05,16,16,02.00,,-20.211,-43.455,  0.0,2, 1.4,1,"I",,,"MG","Mariana Mina-Germano","(RSBR Agurto etal 2016)"
2015,11,05,17,56,42.00,,-20.210,-43.450,  0.0,5, 1.5,1,"I",,,"MG","Mariana Mina-Germano","(RSBR Agurto etal 2016)"
2015,11,05,17,59,28.00,,-20.210,-43.450,  0.0,5, 1.7,1,"I",,,"MG","Mariana Mina-Germano","(RSBR Agurto etal 2016)"
2015,11,05,18,23,31.00,,-20.480,-56.250,  0.0,30, 1.7,5,"I",,,"MS","Miranda?","(RSBR SC3 ML-0.5)"
2015,11,06,03,47,10.70,,-19.410,-56.360,  0.0,20, 4.1,2,"I","4",2.500000,"MS","Miranda","(RSBR UFMS  Ciardelli&Assumpcao_2018; mb 4.1 NEIC; mR 4.0 USP)"
2015,11,06,03,55,36.00,,-19.400,-56.310,  0.0,20, 2.2,1,"I",,,"MS","Miranda","(RSBR Ciardelli&Assumpcao_2018)"
2015,11,06,03,56,55.20,,-19.420,-56.350,  0.0,20, 3.1,1,"I",,,"MS","Miranda","(RSBR Ciardelli&Assumpcao_2018)"
2015,11,06,04,20,37.00,,-14.720,-40.120,  0.0,5, 3.2,1,"I",,,"BA","Iguaí","(RSBR)"
2015,11,06,10,48,36.00,,-19.400,-56.330,  0.0,20, 2.9,1,"I",,,"MS","Miranda","(RSBR)"
2015,11,08,18,00,23.00,,-20.200,-43.480,  0.0,10, 1.5,1,"I",,,"MG","Mariana Mina-Germano","(RSBR)"
2015,11,09,11,19,37.00,,-19.760,-44.610,  0.0,10, 2.2,1,"I",,,"MG","São José da Varginha","(RSBR)"
2015,11,09,12,06,14.00,,-18.360,-40.060,  0.0,15, 2.5,1,"I",,,"ES","Pinheiros","(RSBR)"
2015,11,09,17,49,34.00,,-14.220,-49.470,  0.0,10, 2.9,1,"I",,,"GO","Nova Iguaçu de Goiás","(RSBR)"
2015,11,09,21,11,07.10,,-19.410,-56.350,  0.0,20, 3.2,1,"I",,,"MS","Miranda","(RSBR; Ciardelli&Assumpcao_2018)"
2015,11,10,06,17,02.00,,-20.211,-43.455,  0.0,2, 1.9,1,"I",,,"MG","Mariana Mina-Germano","(RSBR; Agurto etal 2016)"
2015,11,10,07,45,59.00,,-20.212,-43.454,  0.0,2, 2.1,1,"I","4",,"MG","Mariana Mina-Germano","(RSBR; Agurto etal 2016)"
2015,11,13,01,52,23.00,,-15.150,-43.880,  0.0,20, 2.8,1,"I",,,"MG","Itacarambi","(RSBR)"
2015,11,13,02,04,31.00,,-15.160,-43.900,  0.0,20, 2.4,1,"I",,,"MG","Itacarambi","(RSBR)"
2015,11,13,02,07,04.00,,-15.180,-43.840,  0.0,25, 2.7,1,"I",,,"MG","Jaiba","(RSBR)"
2015,11,13,19,37,15.00,,-9.220,-36.010,  1.0,3, 2.2,1,"I",,,"MG","Branquinha","(RSBR)"
2015,11,14,05,25,35.00,,+7.070,-34.280,  0.0,50, 5.0,0,"I",,,"PE","Arquip.S.Pedro S.Paulo","(RSBR)"
2015,11,14,15,31,42.70,,-19.410,-56.360,  0.0,20, 2.4,1,"I",,,"MS","Miranda","(RSBR; Ciardelli&Assumpcao_2018)"
2015,11,14,21,53,22.00,,+0.310,-30.080,  0.0,50, 4.1,0,"I",,,"PE","Arquip.S.Pedro S.Paulo","(RSBR)"
2015,11,15,10,55,08.00,,-12.280,-48.460,  0.0,30, 2.9,1,"I",,,"TO","Peixe","(RSBR)"
2015,11,16,05,34,44.00,,-15.220,-43.950,  0.0,20, 1.9,1,"I",,,"MG","Itacarambi","(RSBR)"
2015,11,16,05,37,52.00,,-15.230,-43.980,  0.0,20, 2.3,1,"I",,,"MG","Itacarambi","(RSBR)"
2015,11,18,23,42,50.00,,-20.208,-43.453,  0.0,2, 2.1,1,"I","4",,"MG","Mariana Mina-Germano","(RSBR; Agurto etal 2016)"
2015,11,20,06,35,34.00,,-7.850,-73.230,151.0,45, 4.1,0,"I",,,"AC","Mancio Lima","(RSBR)"
2015,11,21,21,50,32.00,,+7.360,-38.150,  0.0,50, 4.4,0,"I",,,"PE","Arquip.S.Pedro S.Paulo","(RSBR)"
2015,11,24,18,10,07.00,,-10.480,-70.950,587.0,30, 4.0,0,"I",,,"AC","Peru-Brazil","(RSBR)"
2015,11,24,22,45,37.00,,-10.670,-71.130,597.0,30, 7.0,0,"I","4",,"AC","Peru-Brazil","(RSBR)"
2015,11,24,22,50,50.00,,-10.160,-71.470,595.0,30, 7.5,0,"I","4",,"AC","Peru-Brazil","(RSBR)"
2015,11,24,23,44,14.00,,-10.610,-71.100,595.0,30, 4.4,0,"I",,,"AC","Peru-Brazil","(RSBR)"
2015,11,24,23,55,20.00,,-10.360,-70.920,617.0,30, 4.2,0,"I",,,"AC","Peru-Brazil","(RSBR)"
2015,11,25,01,05,00.00,,-9.870,-71.230,615.0,60, 4.1,0,"I",,,"AC","Jordao","(RSBR)"
2015,11,25,04,30,30.00,,-10.070,-71.030,599.0,30, 4.0,0,"I",,,"AC","Peru-Brazil","(RSBR)"
2015,11,25,09,26,22.00,,-8.670,-71.420,651.0,30, 4.9,0,"I",,,"AC","Tarauaca","(RSBR)"
2015,11,25,09,45,47.00,,+8.510,-40.570,  0.0,50, 4.5,0,"I",,,"PE","Arquip.S.Pedro S.Paulo","(RSBR)"
2015,11,25,18,47,55.00,,-10.380,-70.590,660.0,80, 4.7,0,"I",,,"AC","Santa Rosa do Purus","(RSBR)"
2015,11,25,20,19,07.00,,-13.300,-49.440,  0.0,9, 2.6,1,"I",,,"GO","Goiás","(UnB; Carvalho etal.2020)"
2015,11,25,23,49,34.00,,-10.460,-71.160,593.0,30, 4.2,0,"I",,,"AC","Peru-Brazil","(RSBR)"
2015,11,26,05,45,17.00,,-9.260,-71.340,609.0,50, 6.4,0,"I",,,"AC","Peru-Brazil Border","(RSBR UnB)"
2015,11,26,05,45,18.00,,-9.270,-71.330,605.0,60, 6.2,0,"I",,,"AC","Jordao","(RSBR)"
2015,11,26,06,01,23.00,,-9.270,-71.270,606.0,60, 4.8,0,"I",,,"AC","Jordao","(RSBR)"
2015,11,26,13,42,24.00,,-9.820,-71.140,593.0,30, 4.8,0,"I",,,"AC","Peru-Brazil","(RSBR)"
2015,11,26,20,50,48.00,,-10.440,-70.920,590.0,30, 3.8,0,"I",,,"AC","Peru-Brazil","(RSBR)"
2015,11,27,00,52,54.00,,-9.380,-71.180,627.0,30, 5.1,0,"I",,,"AC","Peru-Brazil","(RSBR)"
2015,11,29,10,41,31.00,,-10.260,-71.290,647.0,30, 4.1,0,"I",,,"AC","Peru-Brazil","(RSBR)"
2015,12,02,01,41,15.00,,-21.980,-49.840,  0.0,6, 2.8,1,"I",,,"SP","Julio Mesquita","(RSBR)"
2015,12,07,21,08,03.00,,-10.620,-55.280,  0.0,20, 3.2,1,"I",,,"MT","Terra Nova do Norte","(RSBR)"
2015,12,09,14,49,53.00,,-10.680,-43.860,  0.0,20, 3.8,1,"I",,,"BA","Mansidao","(RSBR)"
2015,12,12,05,33,22.00,,-19.300,-45.750,  0.0,10, 2.3,1,"I",,,"MG","Dores do Indaiá","(RSBR)"
2015,12,12,08,51,14.00,,-18.820,-44.810,  0.0,10, 2.6,1,"I",,,"MG","Felixlandia","(RSBR)"
2015,12,12,23,30,33.00,,+0.730,-24.940,  0.0,50, 4.4,0,"I",,,"PE","Arquip.S.Pedro S.Paulo","(RSBR)"
2015,12,13,17,46,19.00,,-8.080,-50.280,  0.0,30, 3.3,1,"I",,,"PA","Redenção","(RSBR)"
2015,12,13,18,37,34.00,,-3.740,-38.810,  0.0,20, 2.4,1,"I",,,"CE","Caucaia","(RSBR)"
2015,12,14,07,19,55.00,,-26.040,-57.100,  0.0,10, 2.8,1,"I",,,"PY","Paraguay","(RSBR)"
2015,12,14,08,16,06.00,,-23.330,-51.150,  0.0,3, 1.8,1,"I","5",,"PR","Londrina","(RSBR; IAG) vários; trincou parede"
2015,12,15,14,02,39.00,,-24.380,-50.640,  0.0,10, 1.8,1,"I",,,"PR","Telemaco Borba","(RSBR)"
2015,12,15,19,57,10.00,,-11.660,-56.640,  0.0,80, 1.2,5,"I",,,"MT","Novo Horizonte do Norte","(RSBR SC3 ML-0.5)"
2015,12,16,03,12,42.00,,-12.920,-49.150,  0.0,8, 3.1,1,"I",,,"TO","divisa GO-TO","(UnB; Carvalho etal.2020)"
2015,12,16,18,59,30.00,,-14.650,-50.920,  0.0,30, 2.7,1,"I",,,"MT","Cocalinho","(RSBR)"
2015,12,19,07,04,27.00,,-15.070,-43.830,  0.0,25, 2.3,1,"I",,,"MG","Matias Cardoso","(RSBR)"
2015,12,19,07,22,57.00,,-15.050,-44.750,  0.0,30, 2.0,1,"I",,,"MG","Bonito de Minas","(RSBR)"
2015,12,19,09,57,02.00,,-15.290,-43.950,  0.0,20, 2.3,1,"I",,,"MG","Itacarambi","(RSBR)"
2015,12,20,00,08,43.00,,-8.790,-71.210,  0.0,50, 4.2,0,"I",,,"AC","Western Brazil","(RSBR)"
2015,12,25,11,52,16.00,,-3.820,-39.830,  0.0,15, 3.5,1,"I",,,"CE","Iraucuba","(RSBR)"
2015,12,25,18,10,14.00,,-12.590,-47.400,  0.0,4, 2.4,1,"I",,,"TO","Tocantins","(UnB; Carvalho etal.2020)"
2015,12,27,22,48,40.00,,+8.790,-39.990,  0.0,50, 4.5,0,"I",,,"PE","Arquip.S.Pedro S.Paulo","(RSBR)"
2015,12,28,19,24,17.00,,-0.410,-19.740,  0.0,50, 4.8,0,"I",,,"PE","Arquip.S.Pedro S.Paulo","(RSBR)"
2016,01,01,00,00,29.00,,-19.930,-43.330,  0.0,20, 1.7,1,"I",,,"MG","Santa Bárbara","(UnB)"
2016,01,01,03,43,39.00,,-19.600,-43.300,  0.0,20, 1.9,1,"I",,,"MG","Itabira","(UnB)"
2016,01,01,15,25,25.00,,-14.490,-43.160,  0.0,25, 2.8,1,"I",,,"BA","Palmas de Monte Alto","(RSBR-USP)"
2016,01,01,18,49,34.00,,-23.330,-51.140,  0.0,5, 1.9,1,"I",,,"PR","Londrina - California","(RSBR-USP)"
2016,01,03,00,25,36.00,,-2.520,-45.090,  0.0,20, 2.9,1,"I",,,"MA","Pinheiro","(UnB)"
2016,01,03,11,08,33.00,,-10.810,-70.720,631.0,20, 4.4,0,"I",,,"AC","Peru-Brasil","(UnB)"
2016,01,04,11,22,37.00,,-19.780,-44.580,  0.0,20, 2.1,1,"I",,,"MG","São José Da Varginha","(UnB)"
2016,01,05,02,25,24.00,,-8.140,-74.070,153.0,30, 4.4,0,"I",,,"AC","Peru-Brazil Brdr Rg","(RSBR-USP)"
2016,01,06,20,38,42.00,,-3.780,-39.890,  0.0,15, 2.6,1,"I",,,"CE","Iraucuba","(RSBR-USP)"
2016,01,06,20,39,11.00,,-3.830,-39.920,  0.0,15, 2.4,1,"I",,,"CE","Iraucuba","(RSBR-USP)"
2016,01,09,01,58,22.00,,-12.900,-44.700,  0.0,50, 2.5,1,"I",,,"BA","Correntina","(RSBR-USP)"
2016,01,10,08,11,07.00,,+7.360,-34.300, 10.0,50, 4.2,1,"I",,,"PE","Arquip.S.Pedro S.Paulo","(RSBR-USP)"
2016,01,10,14,03,09.00,,-15.130,-39.730,  0.0,2, 3.0,1,"I",,,"BA","Itaju do Colonia","(RSBR-USP)"
2016,01,11,02,39,36.60,,-23.332,-51.144,  0.0,0, 1.6,1,"I","4",,"PR","Londrina - California","(USP_LDA-Net)"
2016,01,11,03,31,06.00,,-15.150,-39.820,  0.0,2, 2.1,1,"I",,,"BA","Itaju do Colonia","(RSBR-USP)"
2016,01,11,16,42,16.10,,-23.330,-51.145,  0.0,0, 1.6,1,"I","4",,"PR","Londrina - California","(USP_LDA-Net)"
2016,01,11,17,21,35.00,,-3.810,-39.880,  0.0,15, 2.3,1,"I",,,"CE","Iraucuba","(RSBR-USP)"
2016,01,12,03,44,35.00,,-22.880,-50.790,  0.0,6, 2.0,1,"I",,,"SP","Florinia","(RSBR-USP)"
2016,01,12,11,51,10.00,,-8.800,-73.710,133.0,30, 4.5,0,"I",,,"AC","Peru-Brazil Brdr Rg","(RSBR-USP)"
2016,01,12,12,42,09.40,,-23.341,-51.139,  0.0,0, 1.6,1,"I",,,"PR","Londrina - S.Fernando","(USP_LDA-Net)"
2016,01,12,18,46,28.00,,-15.230,-39.010,  0.0,10, 1.8,1,"I",,,"BA","Una","(RSBR-USP)"
2016,01,13,02,59,37.00,,-15.300,-39.150,  0.0,10, 1.6,1,"I",,,"BA","Una","(RSBR-USP)"
2016,01,13,07,09,57.00,,-7.910,-73.360,135.0,30, 3.8,0,"I",,,"AC","Peru-Brazil Brdr Rg","(RSBR-USP)"
2016,01,15,14,43,32.00,,-12.090,-56.180,  0.0,10, 2.8,1,"I",,,"MT","Sorriso","(RSBR-USP)"
2016,01,17,00,06,40.00,,-22.910,-44.460,  0.0,6, 2.5,1,"I",,,"RJ","Angra dos Reis","(RSBR-USP)"
2016,01,17,01,53,05.00,,-17.080,-43.160,  0.0,20, 2.1,1,"I",,,"MG","Botumirim","(UnB)"
2016,01,17,07,19,06.00,,-20.260,-43.970,  0.0,20, 2.1,1,"I",,,"MG","Brumadinho","(UnB)"
2016,01,18,01,29,05.00,,-6.080,-72.970, 10.0,30, 4.4,0,"I",,,"AC","Peru-Brazil Brdr Rg","(RSBR-USP)"
2016,01,18,03,19,02.00,,-3.800,-39.900,  0.0,15, 2.1,1,"I",,,"CE","Iraucuba","(RSBR-USP)"
2016,01,18,18,29,12.00,,-14.300,-50.700,  0.0,35, 2.5,1,"I",,,"MT","Cocalinho","(UnB)"
2016,01,19,01,11,41.00,,-8.270,-74.190,156.0,30, 4.0,0,"I",,,"AC","Peru-Brazil Brdr Rg","(RSBR-USP)"
2016,01,19,09,58,01.30,,-23.328,-51.166,  0.0,0, 1.5,1,"I","3",,"PR","Londrina LDAW","(USP_LDA-Net)"
2016,01,20,02,33,50.00,,+1.630,-60.910,  0.0,20, 2.8,1,"I",,,"RR","Caracaraí","(UnB)"
2016,01,20,16,40,05.00,,-8.550,-53.300,  0.0,20, 3.4,1,"I",,,"PA","Rio Peti","(RSBR-USP)"
2016,01,21,16,13,09.50,,-23.324,-51.143,  0.0,0, 1.9,1,"I","4",,"PR","Londrina - Caravelle","(USP_LDA-Net)"
2016,01,22,05,16,45.00,,-11.680,-56.700,  0.0,5, 2.7,5,"I",,,"MT","Novo HorizontedoNorte","(MLv_SC3-0.5)"
2016,01,26,14,21,43.00,,-26.860,-52.020,  0.0,5, 2.0,1,"I",,,"SC","Ponte Serrada","(RSBR-USP)"
2016,01,26,15,37,11.00,,+0.290,-30.340, 10.0,50, 4.2,0,"I",,,"PE","Arquip.S.Pedro/S.Paulo","(RSBR-USP)"
2016,01,27,15,11,28.00,,+0.350,-28.900, 10.0,50, 5.0,0,"I",,,"PE","Arquip.S.Pedro/S.Paulo","(RSBR-USP)"
2016,01,28,01,36,01.00,,-23.610,-47.450,  0.0,7, 2.4,1,"I",,,"SP","Votorantim","(RSBR-USP)"
2016,01,28,03,46,56.00,,+1.010,-28.640, 10.0,50, 4.6,0,"I",,,"PE","Arquip.S.Pedro/S.Paulo","(RSBR-USP)"
2016,01,30,07,40,26.00,,-13.870,-49.090,  0.0,5, 2.7,1,"I",,,"GO","Estrela do Norte","(RSBR-USP)"
2016,01,31,07,41,51.00,,-8.390,-74.140,167.0,30, 5.0,0,"I",,,"AC","Peru-Brazil Brdr Rg","(RSBR-USP)"
2016,02,02,14,08,58.00,,-22.970,-43.730,  0.0,15, 2.2,1,"I",,,"RJ","Itaguai","(RSBR-USP)"
2016,02,03,02,55,55.30,,-23.345,-51.197,  0.0,0, 1.5,1,"I","3",,"PR","Londrina - W de LDAW","(USP_LDA-Net)"
2016,02,03,07,54,11.00,,-13.420,-49.710,  0.0,20, 1.5,1,"I",,,"GO","Bonópolis","(UnB)"
2016,02,03,18,04,50.00,,-20.370,-44.040,  0.0,5, 2.5,1,"I",,,"MG","Moeda","(RSBR-USP)"
2016,02,05,02,41,44.00,,-13.110,-39.490,  0.0,20, 2.0,1,"I",,,"BA","Amargosa","(UnB)"
2016,02,06,19,02,00.00,,-16.260,-44.160,  0.0,1, 1.7,5,"I",,,"MG","Mirabela","(MLv_SC3-0.5)"
2016,02,08,20,53,39.00,,-20.590,-42.410,  0.0,20, 1.9,1,"I",,,"MG","Araponga","(UnB)"
2016,02,10,02,16,08.00,,-18.470,-40.760,  0.0,15, 1.8,1,"I",,,"ES","Ecoporanga","(RSBR-USP)"
2016,02,12,02,10,04.00,,-22.040,-40.750,  0.0,20, 1.9,1,"I",,,"MG","-","(UnB)"
2016,02,13,09,02,50.00,,-10.410,-50.050,  0.0,50, 2.6,1,"I",,,"MT","Santa Terezinha","(RSBR-USP)"
2016,02,14,02,50,56.00,,-18.900,-48.270,  0.0,2, 2.1,1,"I",,,"MG","Uberlandia","(RSBR-USP)"
2016,02,14,05,10,18.00,,-15.140,-43.900,  0.0,20, 2.4,1,"I",,,"MG","Itacarambi","(RSBR-USP)"
2016,02,14,06,05,33.00,,-12.960,-39.510,  0.0,20, 2.1,1,"I",,,"BA","Elísio Medrado","(UnB)"
2016,02,15,02,35,28.00,,-19.960,-41.530,  0.0,20, 2.6,1,"I",,,"MG","Mutum","(RSBR-USP)"
2016,02,18,11,52,01.00,,-27.180,-51.510,  0.0,1, 2.3,1,"I",,,"SC","Joacaba","(RSBR-USP)"
2016,02,22,04,29,26.00,,-5.750,-50.530,  0.0,20, 2.2,1,"I",,,"PA","Marabá","(UnB)"
2016,02,23,02,11,45.00,,-19.760,-46.840,  0.0,20, 1.9,1,"I",,,"MG","Araxá","(UnB)"
2016,02,23,02,50,40.00,,-9.560,-37.360,  0.0,5, 2.3,1,"I",,,"AL","Sao Jose da Tapera","(RSBR-USP)"
2016,02,23,14,38,00.00,,-8.320,-36.140,  0.0,3, 2.0,1,"I",,,"PE","Sao Caetano","(RSBR-USP)"
2016,02,23,15,12,03.00,,-8.320,-36.130,  0.0,3, 2.2,1,"I",,,"PE","Sao Caetano","(RSBR-USP)"
2016,02,23,15,13,08.00,,-8.320,-36.130,  0.0,3, 1.8,1,"I",,,"PE","Sao Caetano","(RSBR-USP)"
2016,02,23,16,27,26.00,,-8.320,-36.140,  0.0,3, 2.3,1,"I",,,"PE","Sao Caetano","(RSBR-USP)"
2016,02,23,18,35,26.00,,-8.330,-36.160,  0.0,3, 3.8,1,"I",,,"PE","Sao Caetano","(RSBR-USP)"
2016,02,23,18,44,01.00,,-8.310,-36.150,  0.0,3, 1.5,1,"I",,,"PE","Sao Caetano","(RSBR-USP)"
2016,02,23,18,44,34.00,,-8.320,-36.140,  0.0,3, 2.0,1,"I",,,"PE","Sao Caetano","(RSBR-USP)"
2016,02,23,18,55,00.00,,-8.320,-36.140,  0.0,3, 2.1,1,"I",,,"PE","Sao Caetano","(RSBR-USP)"
2016,02,23,19,21,51.00,,-8.300,-36.150,  0.0,3, 2.4,1,"I",,,"PE","Sao Caetano","(RSBR-USP)"
2016,02,23,19,34,01.00,,-8.310,-36.140,  0.0,3, 1.6,1,"I",,,"PE","Sao Caetano","(RSBR-USP)"
2016,02,23,19,56,53.00,,-8.320,-36.150,  0.0,3, 1.8,1,"I",,,"PE","Sao Caetano","(RSBR-USP)"
2016,02,24,14,00,33.00,,-11.980,-48.260,  0.0,3, 1.8,1,"I",,,"TO","S. Valerio Natividade","(RSBR-USP)"
2016,02,25,01,48,06.00,,-8.290,-36.120,  0.0,3, 2.1,1,"I",,,"PE","Sao Caetano","(RSBR-USP)"
2016,02,25,04,14,17.00,,-8.300,-36.110,  0.0,3, 1.9,1,"I",,,"PE","Sao Caetano","(RSBR-USP)"
2016,02,25,05,03,58.00,,-8.300,-36.120,  0.0,3, 1.9,1,"I",,,"PE","Sao Caetano","(RSBR-USP)"
2016,02,25,16,51,33.00,,-8.290,-36.110,  0.0,3, 2.3,1,"I",,,"PE","Sao Caetano","(RSBR-USP)"
2016,02,26,02,42,27.00,,-8.310,-36.140,  0.0,3, 2.0,1,"I",,,"PE","Sao Caetano","(RSBR-USP)"
2016,02,26,05,08,03.00,,-21.410,-48.500,  0.0,1, 2.1,1,"I",,,"SP","Taquaritinga","(RSBR-USP)"
2016,02,26,05,29,39.00,,-9.010,-58.620,  0.0,50, 3.0,1,"I",,,"MT","Colniza","(RSBR-USP)"
2016,02,26,20,01,07.00,,-22.240,-45.920,  0.0,10, 1.7,5,"I",,,"PE","Pouso Alegre","(MLv_SC3-0.5)"
2016,03,01,12,25,06.00,,-8.310,-36.140,  0.0,3, 2.2,1,"I",,,"PE","Sao Caetano","(RSBR-USP)"
2016,03,01,18,01,58.00,,-20.300,-44.070,  0.0,5, 2.6,1,"I",,,"MG","Moeda","(RSBR-USP)"
2016,03,02,05,19,17.00,,-8.320,-36.170,  0.0,3, 3.5,1,"I",,,"PE","Sao Caetano","(RSBR-USP)"
2016,03,02,06,59,14.00,,-11.540,-56.730,  0.0,70, 2.5,1,"I",,,"MT","Novo HorizontedoNorte","(RSBR-USP)"
2016,03,03,16,51,20.00,,-1.540,-59.000,  0.0,40, 3.9,1,"I",,,"AM","Presidente Figueiredo","(RSBR-USP)"
2016,03,04,00,10,56.00,,-9.640,-36.840,  0.0,30, 2.2,1,"I",,,"AL","Craibas","(RSBR-USP)"
2016,03,04,00,56,30.00,,-8.360,-36.120,  0.0,10, 1.4,1,"I","2",,"PE","Sao Caetano","(RSBR-USP) Felt"
2016,03,04,10,47,23.00,,-19.430,-56.350,  0.0,20, 3.5,1,"I",,,"MS","Miranda","(RSBR-USP)"
2016,03,05,20,41,54.00,,-8.280,-36.100,  0.0,3, 2.2,1,"I",,,"PE","Sao Caetano","(RSBR-USP)"
2016,03,05,22,51,58.00,,-18.820,-44.720,  0.0,20, 2.3,1,"I",,,"MG","Felixlândia","(UnB)"
2016,03,06,00,02,38.00,,-16.100,-41.740,  0.0,20, 1.8,1,"I",,,"MG","Santa Cruz De Salinas","(UnB)"
2016,03,06,04,53,43.00,,-22.030,-45.170,  0.0,10, 2.0,1,"I",,,"MG","Carmo de Minas","(UnB)"
2016,03,06,20,02,32.00,,-5.860,-38.840,  0.0,20, 1.7,1,"I",,,"CE","Solonopole","(RSBR-USP)"
2016,03,06,20,08,45.00,,-5.870,-38.880,  0.0,20, 2.6,1,"I",,,"CE","Solonopole","(RSBR-USP)"
2016,03,06,20,29,29.00,,-5.870,-38.860,  0.0,20, 2.8,1,"I","2",,"CE","Solonopole","(RSBR-USP)"
2016,03,07,15,35,04.00,,-20.460,-44.040,  0.0,6, 2.5,1,"I",,,"MG","Belo Vale","(RSBR-USP)"
2016,03,09,19,00,03.00,,-9.420,-35.820,  0.0,5, 2.6,1,"I",,,"AL","Messias","(RSBR-USP)"
2016,03,10,14,38,01.00,,-1.520,-58.890,  0.0,20, 2.3,1,"I",,,"AM","S. Sebastião do Uatumã","(UnB)"
2016,03,10,18,25,50.00,,-20.370,-44.030,  0.0,6, 2.5,1,"I",,,"MG","Belo Vale","(RSBR-USP)"
2016,03,11,02,48,19.00,,-23.440,-46.430,  0.0,10, 2.1,1,"I",,,"SP","Itaquaquecetuba","(RSBR-USP)"
2016,03,12,00,14,05.00,,-7.500,-73.400,144.0,30, 4.1,0,"I",,,"AC","Peru-Brazil Brdr Rg","(RSBR-USP)"
2016,03,12,05,37,35.00,,-21.370,-48.570,  0.0,8, 0.9,5,"I",,,"SP","Taquaritinga","(MLv_SC3-0.5)"
2016,03,12,07,31,13.00,,-21.370,-48.570,  0.0,8, 1.2,5,"I",,,"SP","Taquaritinga","(MLv_SC3-0.5)"
2016,03,13,03,33,20.00,,-11.320,-40.600,  0.0,20, 2.4,1,"I",,,"BA","Miguel Calmon","(UnB)"
2016,03,14,09,48,16.00,,-5.900,-38.840,  0.0,20, 3.4,1,"I",,,"CE","Solonopole","(RSBR-USP)"
2016,03,16,18,42,45.00,,-8.310,-36.130,  0.0,3, 2.1,1,"I",,,"PE","Sao Caetano","(RSBR-USP)"
